assistid,mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,timestamp,logdate
ai_tw,C8C14803,許家瑋,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32332D39,對標波士頓動力，ANYmal新型機器人亮相：防水還會自己找電源 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566639029197,2019-08-24
ai_tw,FAE12512,JensenTing,687474703A2F2F33736D61726B65742D696E666F2E626C6F6773706F742E636F6D2F323031392F30382F626C6F672D706F73745F34312E68746D6C3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B33734D61726B6574426C6F672B25323833532B4D61726B65742B426C6F672B254535254146254236254535254233254236254535254145253839254536253845254137254535254238253832254535254130254234254538254233253837254538254138253841254537254236254232253239,．人臉辨識技術全面總結：從傳統方法到深度學習 - 3S Market「全球智慧科技應用」市場資訊網,['tech_tw'],['robot_tw'],['000001690A4A9B26000000056375706F795F72656C65617365494E464C55'],1566786856697,2019-08-26
ai_tw,F3A14495,楊賢信,687474703A2F2F7777772E66746368696E6573652E636F6D2F73746F72792F303031303834313737,當人工智能開始寫小說…… -  - FT中文網,['tech_tw'],['robot_tw'],"['00000158E29750890000000F6375706F795F72656C65617365494E464C55', '000001634DFE6565000000066375706F795F72656C65617365494E464C55']",1566781719657,2019-08-26
ai_tw,EE514474,朱宣威,68747470733A2F2F62757A7A6F72616E67652E636F6D2F746563686F72616E67652F323031392F30382F32312F6769746875622D6E65772D66656174757265732F,超省時 GitHub 新功能！點選函數就能看定義，記憶差的工程師不用再苦苦尋找了 | TechOrange,['tech_tw'],['robot_tw'],['000001579961E1D4000000016375706F795F72656C65617365494E464C55'],1566784648327,2019-08-26
ai_tw,7F814895,李明峰,68747470733A2F2F7777772E636F6F6C33632E636F6D2F61727469636C652F313437343132,NVIDIA 、 VMWorld 攜手，使混合雲運算也能應用虛擬 GPU 資源大幅加速運算 #虛擬化 (147412) - 癮科技 Cool3c,['tech_tw'],['robot_tw'],['00000152A69855D6000000066261636B656E645F6C6F63616C494E464C55'],1566825904396,2019-08-26
ai_tw,BA214887,林栢江,68747470733A2F2F7777772E65657474616977616E2E636F6D2F6E6577732F61727469636C652F32303139303832334E5432312D536D6172742D6D616E75666163747572696E67,"2022年智慧製造市場規模將近3,700億美元 - EE Times Taiwan 電子工程專輯網","['3CExpert_tw', 'tech_tw']","['3c_tw', 'UAS_tw', 'info_security_tw', 'robot_tw']",['000001626BBA6655000000056375706F795F72656C65617365494E464C55'],1566817829750,2019-08-26
ai_tw,36614628,Kaizan,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D3235,百度黃埔學院二期開學，加速輸送產業極度稀缺的「首席AI架構師」 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566785349377,2019-08-26
ai_tw,1E614298,計弘達,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32362D3133,Python 初學者常犯的5個錯誤，布爾型竟是整型的子類 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566807773553,2019-08-26
ai_tw,18B14031,Chelsie,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32362D3136,後BERT時代：15個預訓練模型對比分析與關鍵點探索（附鏈接） | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566831046385,2019-08-26
ai_tw,43714853,江子翔,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32362D3136,後BERT時代：15個預訓練模型對比分析與關鍵點探索（附鏈接） | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566812779489,2019-08-26
ai_tw,6F813887,曾玟綾,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32362D39,「AI第一股」曠視招股書深度解讀：攤開557頁看懂中國AI公司的生意經 | 機器之心,['tech_tw'],['robot_tw'],"['00000155B9E1BB0B0000001261646D696E5F70726572656C65617365494E464C55', '0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55']",1566804923795,2019-08-26
ai_tw,22514930,蘇嘉逸,68747470733A2F2F62757A7A6F72616E67652E636F6D2F746563686F72616E67652F323031392F30382F32372F696E746572766965772D776974682D616E647265772D6E672D61626F75742D77686174732D6E6578742D6F662D61692F3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B746563686F72616E67652B253238546563684F72616E6765253239,專訪吳恩達── AI 大神首次來臺演講， AI 領域的愛迪生或特斯拉會不會在臺灣出現？ | TechOrange,['tech_tw'],['robot_tw'],['000001579961E1D4000000016375706F795F72656C65617365494E464C55'],1566913516845,2019-08-27
ai_tw,1D014936,Kao Yu Cheng,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32372D3138,換個dataloader函數， COCO提升3mAP ，上海交大MVIG團隊提出InstaBoost | 機器之心,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566892155787,2019-08-27
ai_tw,2BE13856,林敬桓,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D32372D39,十年磨一劍 | 淘寶如何打造承載億級流量的首頁？ | 機器之心,"['business_tw', 'tech_tw']","['e-commerce_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1566887744162,2019-08-27
ai_tw,18B14031,Chelsie,68747470733A2F2F7777772E6D6F62696C6530312E636F6D2F746F70696364657461696C2E7068703F663D37383426743D35383832333239,【快訊】A Motor 宏佳騰 Gogoro 合作車款 Ai-1 實車照片曝光！ - AEON - 機車討論區 - Mobile01,['tech_tw'],['robot_tw'],['00000157BBD4E734000000026375706F795F72656C65617365494E464C55'],1566913436961,2019-08-27
ai_tw,52D14566,楊上寬,68747470733A2F2F7777772E6D6F62696C6530312E636F6D2F746F70696364657461696C2E7068703F663D37383426743D35383832333239,【快訊】A Motor 宏佳騰 Gogoro 合作車款 Ai-1 實車照片曝光！ - AEON - 機車討論區 - Mobile01,['tech_tw'],['robot_tw'],['00000157BBD4E734000000026375706F795F72656C65617365494E464C55'],1566900303095,2019-08-27
ai_tw,B6F14878,彭顯淯,68747470733A2F2F7777772E6D6F62696C6530312E636F6D2F746F70696364657461696C2E7068703F663D37383426743D35383832333239,【快訊】A Motor 宏佳騰 Gogoro 合作車款 Ai-1 實車照片曝光！ - AEON - 機車討論區 - Mobile01,['tech_tw'],['robot_tw'],['00000157BBD4E734000000026375706F795F72656C65617365494E464C55'],1566916822252,2019-08-27
ai_tw,9BC13827,侯祐鵬,68747470733A2F2F7777772E3467616D6572732E636F6D2E74772F6E6577732F64657461696C2F34303138332F61692D73796F756A796F2D616E6E6F756E6365642D72656C656173652D646174652D616E642D64656D6F,🔞《AI*少女》大量畫面與「H場景」釋出，害羞的創角體驗版免費下載 | 4Gamers,"['GamePlayer_tw', 'Game_tw', 'tech_tw']","['GameInformation_tw', 'robot_tw', 'virtualreality_tw']",['000001580A6CB400000000136375706F795F72656C65617365494E464C55'],1567173951427,2019-08-30
ai_tw,65E14811,盧佑銘,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33302D37,微軟與長江商學院、清華大學經濟管理學院、中歐國際工商學院，聯手打造全球首個「線下+線上」雙資源人工智能商學院 | 機器之心,"['InternationalFinance_tw', 'WhiteCollar_tw', 'business_tw', 'tech_tw']","['finance_tw', 'management_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567152460037,2019-08-30
ai_tw,0E214923,蔡坤融,68747470733A2F2F7777772E6E65776D6F62696C656C6966652E636F6D2F323031392F30382F32392F6A61636B2D6D612D3939362D61692D31326872732F3F75746D5F636F6E74656E743D62756666657263343438642675746D5F6D656469756D3D736F6369616C2675746D5F736F757263653D66616365626F6F6B2E636F6D2675746D5F63616D706169676E3D627566666572,馬雲：AI 時代人們每週工作 12 小時便夠 - New MobileLife 流動日報,"['3CExpert_tw', 'tech_tw']","['app_tw', 'robot_tw']",['00000152A6D17D2B000000086261636B656E645F6C6F63616C494E464C55'],1567135154770,2019-08-30
ai_tw,2E914118,Cynthia,68747470733A2F2F746563686E6577732E74772F323031392F30382F33312F64656C697665726F6F2D61692D63616C63756C617465732D7468652D626573742D706174682F3F75746D5F736F757263653D66625F746E2675746D5F6D656469756D3D66616365626F6F6B,AI 大腦算出最佳路徑，戶戶送 26 分鐘精準送上美味 | TechNews 科技新報,"['3CExpert_tw', 'tech_tw']",['robot_tw'],['000001579E025C270000003D6375706F795F72656C65617365494E464C55'],1567313033366,2019-09-01
ai_tw,04114982,巫孟宸,68747470733A2F2F756E776972652E686B2F323031392F30382F33302F656C6F6E2D6D75736B2F66756E2D746563682F3F75746D5F736F757263653D666565646275726E65722675746D5F6D656469756D3D666565642675746D5F63616D706169676E3D466565642533412B756E776972656C6966652B253238554E574952452E484B2B254536254235253831254535253842253935254537254137253931254536253841253830254537253934253946254536254234254242253239,馬雲與 Elon Musk 就人工智能對談　馬雲：「不會對人類構成威脅」 | 香港 UNWIRE.HK 玩生活．樂科技,['tech_tw'],['robot_tw'],['000001579DA35D79000000146375706F795F72656C65617365494E464C55'],1567330357441,2019-09-01
ai_tw,BFF14983,蔡佩芬,68747470733A2F2F756E776972652E70726F2F323031392F30382F33302F6D6963726F736F66742D6D616A6F6E672D61692F61692F,Microsoft 研究麻雀 AI 系統 實力媲美頂尖人類選手 - UNWIRE.PRO,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['0000016140DF984F000000026375706F795F72656C65617365494E464C55'],1567324617328,2019-09-01
ai_tw,87C14282,Lauthka,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33312D37,助力上海人工智能高地建設，上海人工智能產業投資基金在滬簽約成立 | 機器之心,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['FinancialManagement_tw', 'management_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567299999156,2019-09-01
ai_tw,81A14971,王秉濓,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33312D38,WAIC 2019 | 京東釋放AI價值，七大看點引領城市商業智能升級 | 機器之心,"['business_tw', 'tech_tw']","['e-commerce_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567270387521,2019-09-01
ai_tw,C4714955,姚昱志,68747470733A2F2F7777772E7465636862616E672E636F6D2F706F7374732F37323439352D74736D632D616E642D64617461752D6172652D63686970732D746861742D636F6E7461696E2D6F6E652D7472696C6C696F6E2D7472616E736973746F72732D61626F75742D7468652D73697A652D6F662D612D6D6F7573652D7061643F66726F6D3D686F6D655F6E657773,臺積電與 Cerebras 聯手打造，這塊滑鼠墊大小的晶片，包含了「一兆個」電晶體！ | T客邦,['tech_tw'],['robot_tw'],['00000153074728ED0000000D6261636B656E645F6C6F63616C494E464C55'],1567340664937,2019-09-01
ai_tw,BFF14983,蔡佩芬,68747470733A2F2F7777772E6C656970686F6E652E636F6D2F6E6577732F3230313930382F494846755651306E6371534578366B742E68746D6C,百度超谷歌躍升全球第二，硬核語音技術成搶奪智能音箱“C位”的王牌 | 雷鋒網,['tech_tw'],['robot_tw'],['00000155B9E1BB0B0000001261646D696E5F70726572656C65617365494E464C55'],1567399782658,2019-09-02
ai_tw,CD414902,李佳磬,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31373433362D7363616D6D65722D7375636365737366756C6C792D6465657066616B65642D63656F732D766F6963652D746F2D666F6F6C,Deepfake 再添一例！駭客成功用 AI 假語音騙到 24 萬美元 - INSIDE,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],1567610911889,2019-09-04
ai_tw,A4315053,周昕褕,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30342D3135,結構化數據存儲，如何設計才能滿足需求？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567590943222,2019-09-04
ai_tw,A4315053,周昕褕,68747470733A2F2F7777772E67616D65626173652E636F6D2E74772F6E6577732F746F7069632F39393233303034312F3F75746D5F736F757263653D5253535F666565642675746D5F6D656469756D3D5253532675746D5F63616D706169676E3D5253535F4C494E4B,《棒球大王》推出2004年球員卡  籌組最佳黃金陣容！新增PVP AI系統  讓你比賽隨時開打！ :: 遊戲基地 gamebase,"['GamePlayer_tw', 'Game_tw', 'Sports_tw', 'tech_tw']","['Baseball_tw', 'GameInformation_tw', 'robot_tw']",['000001580A681AFE0000000F6375706F795F72656C65617365494E464C55'],1567673481090,2019-09-05
ai_tw,F3A14495,楊賢信,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30342D3135,結構化數據存儲，如何設計才能滿足需求？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567649486162,2019-09-05
ai_tw,0DF12114,屈佳宏,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30352D32,劉羣：基於深度學習的自然語言處理，邊界在哪裏？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567655722559,2019-09-05
ai_tw,47414380,范家浚,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30352D36,RoBERTa中文預訓練模型，你離中文任務的「SOTA」只差個它 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567666162859,2019-09-05
