interestAffinityCategory,vistornum,sessionnum,logdate
Banking & Finance/Avid Investors,41,83,2019-06-30
Beauty & Wellness/Beauty Mavens,16,28,2019-06-30
Beauty & Wellness/Frequently Visits Salons,48,89,2019-06-30
Food & Dining/Coffee Shop Regulars,54,103,2019-06-30
Food & Dining/Cooking Enthusiasts,34,64,2019-06-30
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,35,54,2019-06-30
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,28,43,2019-06-30
Food & Dining/Fast Food Cravers,59,106,2019-06-30
Food & Dining/Foodies,42,64,2019-06-30
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,27,45,2019-06-30
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,50,84,2019-06-30
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,55,89,2019-06-30
Home & Garden/Do-It-Yourselfers,50,98,2019-06-30
Home & Garden/Home Decor Enthusiasts,22,32,2019-06-30
Lifestyles & Hobbies/Art & Theater Aficionados,55,94,2019-06-30
Lifestyles & Hobbies/Business Professionals,65,128,2019-06-30
Lifestyles & Hobbies/Family-Focused,32,48,2019-06-30
Lifestyles & Hobbies/Fashionistas,33,56,2019-06-30
Lifestyles & Hobbies/Frequently Attends Live Events,44,70,2019-06-30
Lifestyles & Hobbies/Green Living Enthusiasts,71,133,2019-06-30
Lifestyles & Hobbies/Nightlife Enthusiasts,42,75,2019-06-30
Lifestyles & Hobbies/Outdoor Enthusiasts,55,92,2019-06-30
Lifestyles & Hobbies/Pet Lovers,20,29,2019-06-30
Lifestyles & Hobbies/Shutterbugs,74,138,2019-06-30
Lifestyles & Hobbies/Thrill Seekers,28,42,2019-06-30
Media & Entertainment/Book Lovers,28,53,2019-06-30
Media & Entertainment/Comics & Animation Fans,60,106,2019-06-30
Media & Entertainment/Gamers,58,96,2019-06-30
Media & Entertainment/Gamers/Action Game Fans,27,39,2019-06-30
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,33,50,2019-06-30
Media & Entertainment/Gamers/Casual & Social Gamers,24,39,2019-06-30
Media & Entertainment/Gamers/Hardcore Gamers,47,71,2019-06-30
Media & Entertainment/Gamers/Roleplaying Game Fans,41,63,2019-06-30
Media & Entertainment/Gamers/Shooter Game Fans,15,21,2019-06-30
Media & Entertainment/Light TV Viewers,61,109,2019-06-30
Media & Entertainment/Movie Lovers,90,168,2019-06-30
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,26,45,2019-06-30
Media & Entertainment/Movie Lovers/Family Movie Fans,11,26,2019-06-30
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,21,40,2019-06-30
Media & Entertainment/Music Lovers,82,145,2019-06-30
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,13,23,2019-06-30
Media & Entertainment/Music Lovers/Pop Music Fans,39,69,2019-06-30
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,16,31,2019-06-30
Media & Entertainment/Music Lovers/Rock Music Fans,13,19,2019-06-30
Media & Entertainment/Music Lovers/World Music Fans,37,66,2019-06-30
Media & Entertainment/TV Lovers,19,30,2019-06-30
Media & Entertainment/TV Lovers/TV Drama Fans,14,22,2019-06-30
News & Politics/Avid News Readers,47,90,2019-06-30
News & Politics/Avid News Readers/Avid Business News Readers,27,57,2019-06-30
News & Politics/Avid News Readers/Avid Political News Readers,60,115,2019-06-30
News & Politics/Avid News Readers/Entertainment News Enthusiasts,25,52,2019-06-30
Shoppers/Bargain Hunters,12,19,2019-06-30
Shoppers/Luxury Shoppers,63,111,2019-06-30
Shoppers/Shopaholics,31,49,2019-06-30
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,18,26,2019-06-30
Shoppers/Shoppers by Store Type/Department Store Shoppers,36,66,2019-06-30
Shoppers/Value Shoppers,91,170,2019-06-30
Sports & Fitness/Health & Fitness Buffs,80,149,2019-06-30
Sports & Fitness/Sports Fans,59,105,2019-06-30
Sports & Fitness/Sports Fans/Baseball Fans,16,28,2019-06-30
Sports & Fitness/Sports Fans/Basketball Fans,20,29,2019-06-30
Technology/Mobile Enthusiasts,68,120,2019-06-30
Technology/Social Media Enthusiasts,18,30,2019-06-30
Technology/Technophiles,95,171,2019-06-30
Travel/Business Travelers,69,136,2019-06-30
Travel/Travel Buffs,40,70,2019-06-30
Vehicles & Transportation/Auto Enthusiasts,33,54,2019-06-30
Banking & Finance/Avid Investors,82,130,2019-07-01
Beauty & Wellness/Beauty Mavens,34,53,2019-07-01
Beauty & Wellness/Frequently Visits Salons,101,161,2019-07-01
Food & Dining/Coffee Shop Regulars,82,133,2019-07-01
Food & Dining/Cooking Enthusiasts,56,83,2019-07-01
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,44,72,2019-07-01
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,33,44,2019-07-01
Food & Dining/Fast Food Cravers,96,160,2019-07-01
Food & Dining/Foodies,67,98,2019-07-01
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,29,44,2019-07-01
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,94,154,2019-07-01
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,104,170,2019-07-01
Home & Garden/Do-It-Yourselfers,95,154,2019-07-01
Home & Garden/Home Decor Enthusiasts,31,43,2019-07-01
Lifestyles & Hobbies/Art & Theater Aficionados,105,165,2019-07-01
Lifestyles & Hobbies/Business Professionals,131,200,2019-07-01
Lifestyles & Hobbies/Family-Focused,37,65,2019-07-01
Lifestyles & Hobbies/Fashionistas,57,86,2019-07-01
Lifestyles & Hobbies/Frequently Attends Live Events,76,116,2019-07-01
Lifestyles & Hobbies/Green Living Enthusiasts,115,183,2019-07-01
Lifestyles & Hobbies/Nightlife Enthusiasts,93,140,2019-07-01
Lifestyles & Hobbies/Outdoor Enthusiasts,98,158,2019-07-01
Lifestyles & Hobbies/Pet Lovers,33,53,2019-07-01
Lifestyles & Hobbies/Shutterbugs,113,178,2019-07-01
Lifestyles & Hobbies/Thrill Seekers,51,77,2019-07-01
Media & Entertainment/Book Lovers,45,72,2019-07-01
Media & Entertainment/Comics & Animation Fans,105,164,2019-07-01
Media & Entertainment/Gamers,92,156,2019-07-01
Media & Entertainment/Gamers/Action Game Fans,38,59,2019-07-01
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,45,80,2019-07-01
Media & Entertainment/Gamers/Casual & Social Gamers,30,51,2019-07-01
Media & Entertainment/Gamers/Hardcore Gamers,74,117,2019-07-01
Media & Entertainment/Gamers/Roleplaying Game Fans,65,102,2019-07-01
Media & Entertainment/Gamers/Shooter Game Fans,13,21,2019-07-01
Media & Entertainment/Light TV Viewers,124,191,2019-07-01
Media & Entertainment/Movie Lovers,148,228,2019-07-01
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,44,63,2019-07-01
Media & Entertainment/Movie Lovers/Comedy Movie Fans,12,19,2019-07-01
Media & Entertainment/Movie Lovers/Family Movie Fans,14,22,2019-07-01
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,18,25,2019-07-01
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,36,61,2019-07-01
Media & Entertainment/Music Lovers,155,236,2019-07-01
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,19,31,2019-07-01
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,25,35,2019-07-01
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,18,25,2019-07-01
Media & Entertainment/Music Lovers/Pop Music Fans,82,120,2019-07-01
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,40,62,2019-07-01
Media & Entertainment/Music Lovers/Rock Music Fans,20,34,2019-07-01
Media & Entertainment/Music Lovers/World Music Fans,79,116,2019-07-01
Media & Entertainment/TV Lovers,25,43,2019-07-01
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",13,21,2019-07-01
Media & Entertainment/TV Lovers/TV Drama Fans,19,31,2019-07-01
News & Politics/Avid News Readers,74,108,2019-07-01
News & Politics/Avid News Readers/Avid Business News Readers,43,64,2019-07-01
News & Politics/Avid News Readers/Avid Political News Readers,101,160,2019-07-01
News & Politics/Avid News Readers/Entertainment News Enthusiasts,41,57,2019-07-01
Shoppers/Bargain Hunters,20,35,2019-07-01
Shoppers/Luxury Shoppers,123,182,2019-07-01
Shoppers/Shopaholics,47,69,2019-07-01
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,27,36,2019-07-01
Shoppers/Shoppers by Store Type/Department Store Shoppers,53,78,2019-07-01
Shoppers/Value Shoppers,148,232,2019-07-01
Sports & Fitness/Health & Fitness Buffs,162,251,2019-07-01
Sports & Fitness/Sports Fans,114,200,2019-07-01
Sports & Fitness/Sports Fans/Baseball Fans,33,61,2019-07-01
Sports & Fitness/Sports Fans/Basketball Fans,38,68,2019-07-01
Sports & Fitness/Sports Fans/Cycling Enthusiasts,11,16,2019-07-01
Technology/Mobile Enthusiasts,110,181,2019-07-01
Technology/Social Media Enthusiasts,18,28,2019-07-01
Technology/Technophiles,158,241,2019-07-01
Travel/Business Travelers,132,203,2019-07-01
Travel/Travel Buffs,64,105,2019-07-01
Vehicles & Transportation/Auto Enthusiasts,62,96,2019-07-01
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,10,14,2019-07-01
Banking & Finance/Avid Investors,72,149,2019-07-02
Beauty & Wellness/Beauty Mavens,32,55,2019-07-02
Beauty & Wellness/Frequently Visits Salons,84,161,2019-07-02
Food & Dining/Coffee Shop Regulars,67,130,2019-07-02
Food & Dining/Cooking Enthusiasts,55,89,2019-07-02
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,43,77,2019-07-02
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,21,46,2019-07-02
Food & Dining/Fast Food Cravers,80,136,2019-07-02
Food & Dining/Foodies,58,94,2019-07-02
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,27,45,2019-07-02
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,78,149,2019-07-02
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,86,168,2019-07-02
Home & Garden/Do-It-Yourselfers,86,170,2019-07-02
Home & Garden/Home Decor Enthusiasts,28,48,2019-07-02
Lifestyles & Hobbies/Art & Theater Aficionados,92,163,2019-07-02
Lifestyles & Hobbies/Business Professionals,106,204,2019-07-02
Lifestyles & Hobbies/Family-Focused,40,76,2019-07-02
Lifestyles & Hobbies/Fashionistas,57,97,2019-07-02
Lifestyles & Hobbies/Frequently Attends Live Events,63,117,2019-07-02
Lifestyles & Hobbies/Green Living Enthusiasts,103,197,2019-07-02
Lifestyles & Hobbies/Nightlife Enthusiasts,77,151,2019-07-02
Lifestyles & Hobbies/Outdoor Enthusiasts,84,173,2019-07-02
Lifestyles & Hobbies/Pet Lovers,30,49,2019-07-02
Lifestyles & Hobbies/Shutterbugs,104,208,2019-07-02
Lifestyles & Hobbies/Thrill Seekers,41,72,2019-07-02
Media & Entertainment/Book Lovers,46,78,2019-07-02
Media & Entertainment/Comics & Animation Fans,94,153,2019-07-02
Media & Entertainment/Gamers,76,127,2019-07-02
Media & Entertainment/Gamers/Action Game Fans,30,47,2019-07-02
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,40,62,2019-07-02
Media & Entertainment/Gamers/Casual & Social Gamers,29,45,2019-07-02
Media & Entertainment/Gamers/Hardcore Gamers,55,88,2019-07-02
Media & Entertainment/Gamers/Roleplaying Game Fans,48,76,2019-07-02
Media & Entertainment/Gamers/Shooter Game Fans,17,28,2019-07-02
Media & Entertainment/Light TV Viewers,101,189,2019-07-02
Media & Entertainment/Movie Lovers,131,240,2019-07-02
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,30,55,2019-07-02
Media & Entertainment/Movie Lovers/Family Movie Fans,18,33,2019-07-02
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,11,19,2019-07-02
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,29,53,2019-07-02
Media & Entertainment/Music Lovers,129,235,2019-07-02
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,19,33,2019-07-02
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,20,31,2019-07-02
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,14,21,2019-07-02
Media & Entertainment/Music Lovers/Pop Music Fans,59,109,2019-07-02
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,28,46,2019-07-02
Media & Entertainment/Music Lovers/Rock Music Fans,18,27,2019-07-02
Media & Entertainment/Music Lovers/World Music Fans,62,111,2019-07-02
Media & Entertainment/TV Lovers,25,39,2019-07-02
Media & Entertainment/TV Lovers/TV Drama Fans,12,20,2019-07-02
News & Politics/Avid News Readers,64,127,2019-07-02
News & Politics/Avid News Readers/Avid Business News Readers,40,74,2019-07-02
News & Politics/Avid News Readers/Avid Political News Readers,87,168,2019-07-02
News & Politics/Avid News Readers/Entertainment News Enthusiasts,30,55,2019-07-02
Shoppers/Bargain Hunters,21,35,2019-07-02
Shoppers/Luxury Shoppers,101,187,2019-07-02
Shoppers/Shopaholics,48,76,2019-07-02
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,21,38,2019-07-02
Shoppers/Shoppers by Store Type/Department Store Shoppers,48,81,2019-07-02
Shoppers/Value Shoppers,130,245,2019-07-02
Sports & Fitness/Health & Fitness Buffs,128,250,2019-07-02
Sports & Fitness/Sports Fans,94,185,2019-07-02
Sports & Fitness/Sports Fans/Baseball Fans,30,60,2019-07-02
Sports & Fitness/Sports Fans/Basketball Fans,37,72,2019-07-02
Technology/Mobile Enthusiasts,99,168,2019-07-02
Technology/Social Media Enthusiasts,25,33,2019-07-02
Technology/Technophiles,143,264,2019-07-02
Travel/Business Travelers,108,212,2019-07-02
Travel/Travel Buffs,65,112,2019-07-02
Vehicles & Transportation/Auto Enthusiasts,49,92,2019-07-02
Banking & Finance/Avid Investors,80,144,2019-07-03
Beauty & Wellness/Beauty Mavens,39,59,2019-07-03
Beauty & Wellness/Frequently Visits Salons,109,186,2019-07-03
Food & Dining/Coffee Shop Regulars,72,132,2019-07-03
Food & Dining/Cooking Enthusiasts,47,71,2019-07-03
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,56,89,2019-07-03
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,34,64,2019-07-03
Food & Dining/Fast Food Cravers,83,142,2019-07-03
Food & Dining/Foodies,62,101,2019-07-03
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,40,62,2019-07-03
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,88,153,2019-07-03
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,98,165,2019-07-03
Home & Garden/Do-It-Yourselfers,104,184,2019-07-03
Home & Garden/Home Decor Enthusiasts,25,37,2019-07-03
Lifestyles & Hobbies/Art & Theater Aficionados,97,183,2019-07-03
Lifestyles & Hobbies/Business Professionals,132,220,2019-07-03
Lifestyles & Hobbies/Family-Focused,46,79,2019-07-03
Lifestyles & Hobbies/Fashionistas,51,87,2019-07-03
Lifestyles & Hobbies/Frequently Attends Live Events,74,132,2019-07-03
Lifestyles & Hobbies/Green Living Enthusiasts,108,183,2019-07-03
Lifestyles & Hobbies/Nightlife Enthusiasts,84,147,2019-07-03
Lifestyles & Hobbies/Outdoor Enthusiasts,101,171,2019-07-03
Lifestyles & Hobbies/Pet Lovers,29,50,2019-07-03
Lifestyles & Hobbies/Shutterbugs,100,188,2019-07-03
Lifestyles & Hobbies/Thrill Seekers,51,81,2019-07-03
Media & Entertainment/Book Lovers,41,71,2019-07-03
Media & Entertainment/Comics & Animation Fans,85,142,2019-07-03
Media & Entertainment/Gamers,85,139,2019-07-03
Media & Entertainment/Gamers/Action Game Fans,29,44,2019-07-03
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,43,68,2019-07-03
Media & Entertainment/Gamers/Casual & Social Gamers,26,47,2019-07-03
Media & Entertainment/Gamers/Hardcore Gamers,64,99,2019-07-03
Media & Entertainment/Gamers/Roleplaying Game Fans,49,78,2019-07-03
Media & Entertainment/Gamers/Shooter Game Fans,18,27,2019-07-03
Media & Entertainment/Light TV Viewers,104,185,2019-07-03
