interestAffinityCategory,vistornum,sessionnum,logdate
Media & Entertainment/Movie Lovers,134,230,2019-07-03
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,34,51,2019-07-03
Media & Entertainment/Movie Lovers/Comedy Movie Fans,10,14,2019-07-03
Media & Entertainment/Movie Lovers/Family Movie Fans,13,24,2019-07-03
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,30,48,2019-07-03
Media & Entertainment/Music Lovers,134,237,2019-07-03
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,39,2019-07-03
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,20,33,2019-07-03
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,10,11,2019-07-03
Media & Entertainment/Music Lovers/Pop Music Fans,54,101,2019-07-03
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,28,43,2019-07-03
Media & Entertainment/Music Lovers/Rock Music Fans,15,25,2019-07-03
Media & Entertainment/Music Lovers/World Music Fans,57,105,2019-07-03
Media & Entertainment/TV Lovers,25,35,2019-07-03
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",12,15,2019-07-03
Media & Entertainment/TV Lovers/TV Drama Fans,15,21,2019-07-03
News & Politics/Avid News Readers,67,123,2019-07-03
News & Politics/Avid News Readers/Avid Business News Readers,31,65,2019-07-03
News & Politics/Avid News Readers/Avid Political News Readers,91,174,2019-07-03
News & Politics/Avid News Readers/Entertainment News Enthusiasts,23,46,2019-07-03
Shoppers/Bargain Hunters,17,28,2019-07-03
Shoppers/Luxury Shoppers,130,224,2019-07-03
Shoppers/Shopaholics,42,72,2019-07-03
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,23,33,2019-07-03
Shoppers/Shoppers by Store Type/Department Store Shoppers,50,74,2019-07-03
Shoppers/Value Shoppers,140,240,2019-07-03
Sports & Fitness/Health & Fitness Buffs,156,283,2019-07-03
Sports & Fitness/Sports Fans,114,193,2019-07-03
Sports & Fitness/Sports Fans/Baseball Fans,28,52,2019-07-03
Sports & Fitness/Sports Fans/Basketball Fans,33,57,2019-07-03
Sports & Fitness/Sports Fans/Cycling Enthusiasts,12,14,2019-07-03
Technology/Mobile Enthusiasts,92,153,2019-07-03
Technology/Social Media Enthusiasts,14,38,2019-07-03
Technology/Technophiles,145,252,2019-07-03
Travel/Business Travelers,122,215,2019-07-03
Travel/Travel Buffs,68,112,2019-07-03
Travel/Travel Buffs/Beachbound Travelers,10,13,2019-07-03
Travel/Travel Buffs/Luxury Travelers,11,14,2019-07-03
Vehicles & Transportation/Auto Enthusiasts,74,117,2019-07-03
Banking & Finance/Avid Investors,76,119,2019-07-04
Beauty & Wellness/Beauty Mavens,28,43,2019-07-04
Beauty & Wellness/Frequently Visits Salons,90,141,2019-07-04
Food & Dining/Coffee Shop Regulars,70,125,2019-07-04
Food & Dining/Cooking Enthusiasts,55,78,2019-07-04
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,40,65,2019-07-04
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,31,57,2019-07-04
Food & Dining/Fast Food Cravers,83,134,2019-07-04
Food & Dining/Foodies,55,98,2019-07-04
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,28,46,2019-07-04
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,82,138,2019-07-04
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,92,159,2019-07-04
Home & Garden/Do-It-Yourselfers,96,154,2019-07-04
Home & Garden/Home Decor Enthusiasts,23,32,2019-07-04
Lifestyles & Hobbies/Art & Theater Aficionados,97,170,2019-07-04
Lifestyles & Hobbies/Business Professionals,118,178,2019-07-04
Lifestyles & Hobbies/Family-Focused,30,45,2019-07-04
Lifestyles & Hobbies/Fashionistas,50,86,2019-07-04
Lifestyles & Hobbies/Frequently Attends Live Events,69,117,2019-07-04
Lifestyles & Hobbies/Green Living Enthusiasts,97,161,2019-07-04
Lifestyles & Hobbies/Nightlife Enthusiasts,79,139,2019-07-04
Lifestyles & Hobbies/Outdoor Enthusiasts,87,135,2019-07-04
Lifestyles & Hobbies/Pet Lovers,33,53,2019-07-04
Lifestyles & Hobbies/Shutterbugs,107,183,2019-07-04
Lifestyles & Hobbies/Thrill Seekers,45,77,2019-07-04
Media & Entertainment/Book Lovers,41,68,2019-07-04
Media & Entertainment/Comics & Animation Fans,88,141,2019-07-04
Media & Entertainment/Gamers,80,133,2019-07-04
Media & Entertainment/Gamers/Action Game Fans,34,55,2019-07-04
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,37,63,2019-07-04
Media & Entertainment/Gamers/Casual & Social Gamers,22,32,2019-07-04
Media & Entertainment/Gamers/Hardcore Gamers,57,92,2019-07-04
Media & Entertainment/Gamers/Roleplaying Game Fans,40,66,2019-07-04
Media & Entertainment/Gamers/Shooter Game Fans,15,27,2019-07-04
Media & Entertainment/Light TV Viewers,97,159,2019-07-04
Media & Entertainment/Movie Lovers,126,210,2019-07-04
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,23,36,2019-07-04
Media & Entertainment/Movie Lovers/Family Movie Fans,20,33,2019-07-04
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,11,18,2019-07-04
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,23,37,2019-07-04
Media & Entertainment/Music Lovers,131,218,2019-07-04
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,15,34,2019-07-04
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,20,35,2019-07-04
Media & Entertainment/Music Lovers/Pop Music Fans,58,105,2019-07-04
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,32,57,2019-07-04
Media & Entertainment/Music Lovers/Rock Music Fans,17,30,2019-07-04
Media & Entertainment/Music Lovers/World Music Fans,59,107,2019-07-04
Media & Entertainment/TV Lovers,29,45,2019-07-04
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",14,24,2019-07-04
Media & Entertainment/TV Lovers/TV Drama Fans,20,34,2019-07-04
News & Politics/Avid News Readers,70,116,2019-07-04
News & Politics/Avid News Readers/Avid Business News Readers,37,64,2019-07-04
News & Politics/Avid News Readers/Avid Political News Readers,94,156,2019-07-04
News & Politics/Avid News Readers/Entertainment News Enthusiasts,35,57,2019-07-04
Shoppers/Bargain Hunters,19,27,2019-07-04
Shoppers/Luxury Shoppers,109,186,2019-07-04
Shoppers/Shopaholics,43,62,2019-07-04
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,23,44,2019-07-04
Shoppers/Shoppers by Store Type/Department Store Shoppers,48,78,2019-07-04
Shoppers/Value Shoppers,136,219,2019-07-04
Sports & Fitness/Health & Fitness Buffs,127,203,2019-07-04
Sports & Fitness/Sports Fans,96,165,2019-07-04
Sports & Fitness/Sports Fans/Baseball Fans,26,38,2019-07-04
Sports & Fitness/Sports Fans/Basketball Fans,31,54,2019-07-04
Technology/Mobile Enthusiasts,84,126,2019-07-04
Technology/Social Media Enthusiasts,19,38,2019-07-04
Technology/Technophiles,146,234,2019-07-04
Travel/Business Travelers,109,171,2019-07-04
Travel/Travel Buffs,56,86,2019-07-04
Vehicles & Transportation/Auto Enthusiasts,58,90,2019-07-04
Banking & Finance/Avid Investors,73,120,2019-07-05
Beauty & Wellness/Beauty Mavens,36,50,2019-07-05
Beauty & Wellness/Frequently Visits Salons,86,131,2019-07-05
Food & Dining/Coffee Shop Regulars,56,94,2019-07-05
Food & Dining/Cooking Enthusiasts,47,66,2019-07-05
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,39,62,2019-07-05
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,38,49,2019-07-05
Food & Dining/Fast Food Cravers,68,115,2019-07-05
Food & Dining/Foodies,51,73,2019-07-05
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,30,45,2019-07-05
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,63,109,2019-07-05
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,83,128,2019-07-05
Home & Garden/Do-It-Yourselfers,84,131,2019-07-05
Home & Garden/Home Decor Enthusiasts,29,36,2019-07-05
Lifestyles & Hobbies/Art & Theater Aficionados,74,129,2019-07-05
Lifestyles & Hobbies/Business Professionals,110,165,2019-07-05
Lifestyles & Hobbies/Family-Focused,33,50,2019-07-05
Lifestyles & Hobbies/Fashionistas,46,66,2019-07-05
Lifestyles & Hobbies/Frequently Attends Live Events,52,83,2019-07-05
Lifestyles & Hobbies/Green Living Enthusiasts,78,126,2019-07-05
Lifestyles & Hobbies/Nightlife Enthusiasts,66,110,2019-07-05
Lifestyles & Hobbies/Outdoor Enthusiasts,77,115,2019-07-05
Lifestyles & Hobbies/Pet Lovers,27,40,2019-07-05
Lifestyles & Hobbies/Shutterbugs,86,143,2019-07-05
Lifestyles & Hobbies/Thrill Seekers,38,63,2019-07-05
Media & Entertainment/Book Lovers,37,59,2019-07-05
Media & Entertainment/Comics & Animation Fans,65,105,2019-07-05
Media & Entertainment/Gamers,61,109,2019-07-05
Media & Entertainment/Gamers/Action Game Fans,22,43,2019-07-05
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,26,50,2019-07-05
Media & Entertainment/Gamers/Casual & Social Gamers,24,44,2019-07-05
Media & Entertainment/Gamers/Hardcore Gamers,46,76,2019-07-05
Media & Entertainment/Gamers/Roleplaying Game Fans,33,62,2019-07-05
Media & Entertainment/Gamers/Shooter Game Fans,13,19,2019-07-05
Media & Entertainment/Light TV Viewers,74,127,2019-07-05
Media & Entertainment/Movie Lovers,103,170,2019-07-05
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,20,37,2019-07-05
Media & Entertainment/Movie Lovers/Family Movie Fans,13,23,2019-07-05
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12,14,2019-07-05
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,14,27,2019-07-05
Media & Entertainment/Music Lovers,104,169,2019-07-05
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,10,19,2019-07-05
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,16,21,2019-07-05
Media & Entertainment/Music Lovers/Pop Music Fans,46,73,2019-07-05
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,24,40,2019-07-05
Media & Entertainment/Music Lovers/World Music Fans,50,79,2019-07-05
Media & Entertainment/TV Lovers,29,45,2019-07-05
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",11,20,2019-07-05
Media & Entertainment/TV Lovers/TV Drama Fans,17,30,2019-07-05
News & Politics/Avid News Readers,65,103,2019-07-05
News & Politics/Avid News Readers/Avid Business News Readers,44,73,2019-07-05
News & Politics/Avid News Readers/Avid Political News Readers,81,136,2019-07-05
News & Politics/Avid News Readers/Entertainment News Enthusiasts,36,55,2019-07-05
Shoppers/Bargain Hunters,17,22,2019-07-05
Shoppers/Luxury Shoppers,100,154,2019-07-05
Shoppers/Shopaholics,38,57,2019-07-05
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,20,29,2019-07-05
Shoppers/Shoppers by Store Type/Department Store Shoppers,39,53,2019-07-05
Shoppers/Value Shoppers,117,177,2019-07-05
Sports & Fitness/Health & Fitness Buffs,114,184,2019-07-05
Sports & Fitness/Sports Fans,86,153,2019-07-05
Sports & Fitness/Sports Fans/Baseball Fans,21,39,2019-07-05
Sports & Fitness/Sports Fans/Basketball Fans,27,55,2019-07-05
Technology/Mobile Enthusiasts,78,116,2019-07-05
Technology/Social Media Enthusiasts,10,12,2019-07-05
Technology/Technophiles,118,177,2019-07-05
Travel/Business Travelers,106,162,2019-07-05
Travel/Travel Buffs,49,75,2019-07-05
Vehicles & Transportation/Auto Enthusiasts,58,88,2019-07-05
Banking & Finance/Avid Investors,58,137,2019-07-06
Beauty & Wellness/Beauty Mavens,21,34,2019-07-06
Beauty & Wellness/Frequently Visits Salons,59,108,2019-07-06
Food & Dining/Coffee Shop Regulars,53,109,2019-07-06
Food & Dining/Cooking Enthusiasts,38,72,2019-07-06
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,32,61,2019-07-06
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,24,41,2019-07-06
Food & Dining/Fast Food Cravers,53,105,2019-07-06
Food & Dining/Foodies,46,81,2019-07-06
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,21,32,2019-07-06
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,47,102,2019-07-06
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,49,94,2019-07-06
Home & Garden/Do-It-Yourselfers,50,87,2019-07-06
Home & Garden/Home Decor Enthusiasts,22,40,2019-07-06
Lifestyles & Hobbies/Art & Theater Aficionados,63,132,2019-07-06
Lifestyles & Hobbies/Business Professionals,78,154,2019-07-06
Lifestyles & Hobbies/Family-Focused,24,42,2019-07-06
Lifestyles & Hobbies/Fashionistas,35,66,2019-07-06
Lifestyles & Hobbies/Frequently Attends Live Events,44,92,2019-07-06
Lifestyles & Hobbies/Green Living Enthusiasts,64,133,2019-07-06
Lifestyles & Hobbies/Nightlife Enthusiasts,45,97,2019-07-06
Lifestyles & Hobbies/Outdoor Enthusiasts,58,107,2019-07-06
Lifestyles & Hobbies/Pet Lovers,20,35,2019-07-06
Lifestyles & Hobbies/Shutterbugs,71,139,2019-07-06
Lifestyles & Hobbies/Thrill Seekers,24,40,2019-07-06
Media & Entertainment/Book Lovers,32,74,2019-07-06
Media & Entertainment/Comics & Animation Fans,59,123,2019-07-06
Media & Entertainment/Gamers,54,106,2019-07-06
Media & Entertainment/Gamers/Action Game Fans,24,48,2019-07-06
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,25,52,2019-07-06
Media & Entertainment/Gamers/Casual & Social Gamers,21,44,2019-07-06
Media & Entertainment/Gamers/Hardcore Gamers,43,82,2019-07-06
Media & Entertainment/Gamers/Roleplaying Game Fans,37,74,2019-07-06
Media & Entertainment/Gamers/Shooter Game Fans,13,32,2019-07-06
Media & Entertainment/Light TV Viewers,55,117,2019-07-06
Media & Entertainment/Movie Lovers,84,177,2019-07-06
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,18,37,2019-07-06
Media & Entertainment/Movie Lovers/Family Movie Fans,16,39,2019-07-06
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12,24,2019-07-06
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,17,40,2019-07-06
Media & Entertainment/Music Lovers,86,170,2019-07-06
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,25,2019-07-06
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,15,26,2019-07-06
Media & Entertainment/Music Lovers/Pop Music Fans,47,89,2019-07-06
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,22,45,2019-07-06
Media & Entertainment/Music Lovers/Rock Music Fans,10,20,2019-07-06
Media & Entertainment/Music Lovers/World Music Fans,47,84,2019-07-06
Media & Entertainment/TV Lovers,26,52,2019-07-06
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",13,28,2019-07-06
Media & Entertainment/TV Lovers/TV Drama Fans,16,35,2019-07-06
News & Politics/Avid News Readers,55,121,2019-07-06
News & Politics/Avid News Readers/Avid Business News Readers,29,69,2019-07-06
News & Politics/Avid News Readers/Avid Political News Readers,65,136,2019-07-06
News & Politics/Avid News Readers/Entertainment News Enthusiasts,29,62,2019-07-06
Shoppers/Bargain Hunters,16,28,2019-07-06
Shoppers/Luxury Shoppers,72,134,2019-07-06
Shoppers/Shopaholics,34,65,2019-07-06
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,17,32,2019-07-06
Shoppers/Shoppers by Store Type/Department Store Shoppers,33,48,2019-07-06
Shoppers/Value Shoppers,91,175,2019-07-06
Sports & Fitness/Health & Fitness Buffs,88,166,2019-07-06
Sports & Fitness/Sports Fans,69,126,2019-07-06
Sports & Fitness/Sports Fans/Baseball Fans,17,36,2019-07-06
Sports & Fitness/Sports Fans/Basketball Fans,20,41,2019-07-06
Technology/Mobile Enthusiasts,60,122,2019-07-06
Technology/Social Media Enthusiasts,12,15,2019-07-06
Technology/Technophiles,90,179,2019-07-06
Travel/Business Travelers,85,173,2019-07-06
Travel/Travel Buffs,45,82,2019-07-06
Vehicles & Transportation/Auto Enthusiasts,36,61,2019-07-06
