interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,14,30,2019-06-30
Autos & Vehicles/Auto Repair & Maintenance,10,27,2019-06-30
Autos & Vehicles/Motor Vehicles,22,43,2019-06-30
Beauty Products & Services/Makeup & Cosmetics,11,31,2019-06-30
Business Services,13,27,2019-06-30
Business Services/Advertising & Marketing Services,53,106,2019-06-30
Business Services/Business Technology,13,24,2019-06-30
Business Services/Business Technology/Enterprise Software,46,92,2019-06-30
Business Services/Business Technology/Network Systems & Services,12,28,2019-06-30
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,10,21,2019-06-30
Business Services/Business Technology/Web Services/Web Design & Development,18,29,2019-06-30
Computers & Peripherals/Computer Accessories & Components,36,68,2019-06-30
Computers & Peripherals/Computers/Laptops & Notebooks,14,23,2019-06-30
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,20,39,2019-06-30
Consumer Electronics/Game Consoles/Sony PlayStation,10,15,2019-06-30
Consumer Electronics/Mobile Phones,62,117,2019-06-30
Dating Services,22,47,2019-06-30
Education/Foreign Language Study,27,46,2019-06-30
Education/Post-Secondary Education,32,58,2019-06-30
Education/Post-Secondary Education/Technology Education,26,57,2019-06-30
Education/Primary & Secondary Schools (K-12),20,49,2019-06-30
Education/Test Preparation & Tutoring,16,30,2019-06-30
Employment,47,99,2019-06-30
Employment/Career Consulting Services,22,45,2019-06-30
Employment/IT & Technical Jobs,30,65,2019-06-30
Financial Services/Banking Services,14,27,2019-06-30
Financial Services/Investment Services,45,95,2019-06-30
Financial Services/Tax Services,11,31,2019-06-30
Gifts & Occasions/Holiday & Seasonal Items,12,19,2019-06-30
Real Estate/Residential Properties,22,44,2019-06-30
Software/Antivirus & Security Software,11,18,2019-06-30
Software/Business & Productivity Software,56,112,2019-06-30
Software/Design Software/Drawing & Animation Software,16,27,2019-06-30
Software/Design Software/Photo Software,18,28,2019-06-30
Travel/Air Travel,26,56,2019-06-30
Travel/Bus & Rail Travel,21,32,2019-06-30
Travel/Hotels & Accommodations,22,46,2019-06-30
Travel/Trips by Destination/Trips to Asia-Pacific,48,92,2019-06-30
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,16,25,2019-06-30
Apparel & Accessories,14,21,2019-07-01
Apparel & Accessories/Women's Apparel,11,14,2019-07-01
Autos & Vehicles/Auto Repair & Maintenance,13,23,2019-07-01
Autos & Vehicles/Motor Vehicles,33,52,2019-07-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,16,2019-07-01
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,11,20,2019-07-01
Beauty Products & Services/Makeup & Cosmetics,16,26,2019-07-01
Business Services,19,25,2019-07-01
Business Services/Advertising & Marketing Services,93,147,2019-07-01
Business Services/Business Financial Services,14,26,2019-07-01
Business Services/Business Technology,26,38,2019-07-01
Business Services/Business Technology/Enterprise Software,84,135,2019-07-01
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,16,22,2019-07-01
Business Services/Business Technology/Network Systems & Services,19,26,2019-07-01
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,21,34,2019-07-01
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,26,37,2019-07-01
Business Services/Business Technology/Web Services/Web Design & Development,42,65,2019-07-01
Business Services/Business Technology/Web Services/Web Hosting,18,30,2019-07-01
Business Services/Payment Processing & Merchant Services,21,34,2019-07-01
Business Services/Staffing & Recruitment Services,15,32,2019-07-01
Computers & Peripherals/Computer Accessories & Components,55,87,2019-07-01
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,10,14,2019-07-01
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,32,47,2019-07-01
Computers & Peripherals/Computers/Laptops & Notebooks,20,32,2019-07-01
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,25,36,2019-07-01
Consumer Electronics/Game Consoles/Sony PlayStation,13,20,2019-07-01
Consumer Electronics/Mobile Phones,97,159,2019-07-01
Dating Services,35,56,2019-07-01
Education/Foreign Language Study,47,77,2019-07-01
Education/Post-Secondary Education,58,88,2019-07-01
Education/Post-Secondary Education/Technology Education,56,95,2019-07-01
Education/Primary & Secondary Schools (K-12),44,86,2019-07-01
Education/Test Preparation & Tutoring,22,42,2019-07-01
Employment,69,108,2019-07-01
Employment/Career Consulting Services,31,47,2019-07-01
Employment/IT & Technical Jobs,51,81,2019-07-01
Financial Services/Banking Services,36,59,2019-07-01
Financial Services/Credit & Lending/Credit Cards,15,19,2019-07-01
Financial Services/Investment Services,82,130,2019-07-01
Financial Services/Tax Services,17,33,2019-07-01
Gifts & Occasions/Holiday & Seasonal Items,15,21,2019-07-01
Gifts & Occasions/Wedding Planning,11,22,2019-07-01
Real Estate/Residential Properties,34,61,2019-07-01
Software/Antivirus & Security Software,35,57,2019-07-01
Software/Audio & Music Software,11,14,2019-07-01
Software/Business & Productivity Software,97,160,2019-07-01
Software/Design Software/Drawing & Animation Software,27,39,2019-07-01
Software/Design Software/Photo Software,28,35,2019-07-01
Software/Video Software,14,18,2019-07-01
Telecom/Internet Service Providers,12,34,2019-07-01
Travel/Air Travel,38,57,2019-07-01
Travel/Bus & Rail Travel,19,35,2019-07-01
Travel/Car Rental,13,27,2019-07-01
Travel/Hotels & Accommodations,36,66,2019-07-01
Travel/Trips by Destination/Trips to Asia-Pacific,77,135,2019-07-01
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,12,14,2019-07-01
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,22,36,2019-07-01
Apparel & Accessories,18,32,2019-07-02
Apparel & Accessories/Women's Apparel,11,17,2019-07-02
Autos & Vehicles/Auto Repair & Maintenance,15,33,2019-07-02
Autos & Vehicles/Motor Vehicles,32,61,2019-07-02
Beauty Products & Services/Face Care Products,11,16,2019-07-02
Beauty Products & Services/Makeup & Cosmetics,18,25,2019-07-02
Business Services,17,29,2019-07-02
Business Services/Advertising & Marketing Services,86,153,2019-07-02
Business Services/Business Financial Services,14,30,2019-07-02
Business Services/Business Technology,21,42,2019-07-02
Business Services/Business Technology/Enterprise Software,80,165,2019-07-02
Business Services/Business Technology/Network Systems & Services,21,47,2019-07-02
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,22,43,2019-07-02
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,32,60,2019-07-02
Business Services/Business Technology/Network Systems & Services/Network Management,11,18,2019-07-02
Business Services/Business Technology/Web Services/Web Design & Development,39,73,2019-07-02
Business Services/Business Technology/Web Services/Web Hosting,11,23,2019-07-02
Business Services/Payment Processing & Merchant Services,15,35,2019-07-02
Business Services/Staffing & Recruitment Services,13,22,2019-07-02
Computers & Peripherals/Computer Accessories & Components,53,100,2019-07-02
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,14,22,2019-07-02
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,29,51,2019-07-02
Computers & Peripherals/Computers,12,23,2019-07-02
Computers & Peripherals/Computers/Laptops & Notebooks,22,39,2019-07-02
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,24,44,2019-07-02
Consumer Electronics/Mobile Phones,92,178,2019-07-02
Dating Services,28,43,2019-07-02
Education/Foreign Language Study,32,51,2019-07-02
Education/Post-Secondary Education,55,102,2019-07-02
Education/Post-Secondary Education/Arts & Design Education,11,24,2019-07-02
Education/Post-Secondary Education/Technology Education,52,112,2019-07-02
Education/Primary & Secondary Schools (K-12),33,73,2019-07-02
Education/Test Preparation & Tutoring,20,37,2019-07-02
Employment,63,104,2019-07-02
Employment/Career Consulting Services,31,48,2019-07-02
Employment/IT & Technical Jobs,45,88,2019-07-02
Financial Services/Banking Services,27,53,2019-07-02
Financial Services/Investment Services,72,145,2019-07-02
Financial Services/Tax Services,17,36,2019-07-02
Gifts & Occasions/Holiday & Seasonal Items,18,29,2019-07-02
Real Estate/Residential Properties,33,57,2019-07-02
Software/Antivirus & Security Software,35,67,2019-07-02
Software/Business & Productivity Software,93,180,2019-07-02
Software/Design Software/Drawing & Animation Software,24,47,2019-07-02
Software/Design Software/Photo Software,23,42,2019-07-02
Telecom/Internet Service Providers,15,30,2019-07-02
Telecom/Mobile Phone Service Providers,11,22,2019-07-02
Travel/Air Travel,39,62,2019-07-02
Travel/Bus & Rail Travel,18,36,2019-07-02
Travel/Car Rental,11,17,2019-07-02
Travel/Hotels & Accommodations,31,43,2019-07-02
Travel/Trips by Destination/Trips to Asia-Pacific,69,129,2019-07-02
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,18,31,2019-07-02
Apparel & Accessories,19,32,2019-07-03
Autos & Vehicles/Auto Repair & Maintenance,19,24,2019-07-03
Autos & Vehicles/Motor Vehicles,37,51,2019-07-03
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,15,2019-07-03
Beauty Products & Services/Hair Care Products,10,11,2019-07-03
Beauty Products & Services/Makeup & Cosmetics,12,27,2019-07-03
Business Services,16,30,2019-07-03
Business Services/Advertising & Marketing Services,76,137,2019-07-03
Business Services/Business Financial Services,13,24,2019-07-03
Business Services/Business Technology,21,39,2019-07-03
Business Services/Business Technology/Enterprise Software,69,132,2019-07-03
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,16,28,2019-07-03
Business Services/Business Technology/Enterprise Software/ERP Solutions,11,19,2019-07-03
Business Services/Business Technology/Network Systems & Services,16,28,2019-07-03
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,13,24,2019-07-03
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,19,31,2019-07-03
Business Services/Business Technology/Web Services/Web Design & Development,39,66,2019-07-03
Business Services/Business Technology/Web Services/Web Hosting,11,14,2019-07-03
Business Services/Payment Processing & Merchant Services,11,19,2019-07-03
Business Services/Staffing & Recruitment Services,13,24,2019-07-03
Computers & Peripherals/Computer Accessories & Components,47,75,2019-07-03
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,24,40,2019-07-03
Computers & Peripherals/Computers/Laptops & Notebooks,13,24,2019-07-03
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,17,34,2019-07-03
Consumer Electronics/Mobile Phones,86,155,2019-07-03
Dating Services,21,32,2019-07-03
Education/Foreign Language Study,29,47,2019-07-03
Education/Post-Secondary Education,52,86,2019-07-03
Education/Post-Secondary Education/Technology Education,43,79,2019-07-03
Education/Primary & Secondary Schools (K-12),35,60,2019-07-03
Education/Test Preparation & Tutoring,18,29,2019-07-03
Employment,55,87,2019-07-03
Employment/Career Consulting Services,27,40,2019-07-03
Employment/IT & Technical Jobs,40,74,2019-07-03
Financial Services/Banking Services,18,30,2019-07-03
Financial Services/Investment Services,65,115,2019-07-03
Financial Services/Tax Services,14,23,2019-07-03
Gifts & Occasions/Holiday & Seasonal Items,16,22,2019-07-03
Real Estate/Residential Properties,34,47,2019-07-03
Software/Antivirus & Security Software,27,42,2019-07-03
Software/Business & Productivity Software,87,148,2019-07-03
Software/Design Software/Drawing & Animation Software,24,33,2019-07-03
Software/Design Software/Photo Software,24,32,2019-07-03
Software/Video Software,14,25,2019-07-03
Telecom/Internet Service Providers,11,33,2019-07-03
Travel/Air Travel,43,61,2019-07-03
Travel/Bus & Rail Travel,20,35,2019-07-03
Travel/Car Rental,10,18,2019-07-03
Travel/Hotels & Accommodations,35,48,2019-07-03
Travel/Trips by Destination/Trips to Asia-Pacific,77,119,2019-07-03
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,22,27,2019-07-03
Apparel & Accessories,17,22,2019-07-04
Apparel & Accessories/Women's Apparel,10,16,2019-07-04
Autos & Vehicles/Auto Repair & Maintenance,12,14,2019-07-04
Autos & Vehicles/Motor Vehicles,26,33,2019-07-04
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,13,15,2019-07-04
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volvo,10,14,2019-07-04
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,15,2019-07-04
Beauty Products & Services/Makeup & Cosmetics,14,24,2019-07-04
Business Services,20,29,2019-07-04
Business Services/Advertising & Marketing Services,82,120,2019-07-04
Business Services/Business Financial Services,13,23,2019-07-04
Business Services/Business Technology,16,26,2019-07-04
Business Services/Business Technology/Enterprise Software,65,105,2019-07-04
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,13,23,2019-07-04
Business Services/Business Technology/Network Systems & Services,18,25,2019-07-04
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,16,27,2019-07-04
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,18,27,2019-07-04
Business Services/Business Technology/Web Services/Web Design & Development,35,55,2019-07-04
Business Services/Business Technology/Web Services/Web Hosting,13,23,2019-07-04
Business Services/Payment Processing & Merchant Services,17,29,2019-07-04
Computers & Peripherals/Computer Accessories & Components,39,57,2019-07-04
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,10,16,2019-07-04
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,41,2019-07-04
Computers & Peripherals/Computers/Laptops & Notebooks,15,23,2019-07-04
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,13,17,2019-07-04
Consumer Electronics/Mobile Phones,77,128,2019-07-04
Dating Services,29,43,2019-07-04
Education/Foreign Language Study,31,51,2019-07-04
Education/Post-Secondary Education,46,83,2019-07-04
Education/Post-Secondary Education/Technology Education,47,81,2019-07-04
Education/Primary & Secondary Schools (K-12),38,64,2019-07-04
Education/Test Preparation & Tutoring,21,34,2019-07-04
Employment,56,88,2019-07-04
Employment/Career Consulting Services,24,40,2019-07-04
Employment/IT & Technical Jobs,33,55,2019-07-04
Financial Services/Banking Services,22,44,2019-07-04
Financial Services/Investment Services,64,97,2019-07-04
Financial Services/Tax Services,14,24,2019-07-04
Gifts & Occasions/Holiday & Seasonal Items,16,22,2019-07-04
Real Estate/Residential Properties,27,41,2019-07-04
Software/Antivirus & Security Software,21,34,2019-07-04
Software/Audio & Music Software,10,13,2019-07-04
Software/Business & Productivity Software,80,125,2019-07-04
Software/Design Software,10,12,2019-07-04
Software/Design Software/Drawing & Animation Software,27,37,2019-07-04
Software/Design Software/Photo Software,29,40,2019-07-04
Software/Video Software,10,20,2019-07-04
Travel/Air Travel,40,67,2019-07-04
Travel/Bus & Rail Travel,20,31,2019-07-04
Travel/Car Rental,11,24,2019-07-04
Travel/Hotels & Accommodations,26,37,2019-07-04
Travel/Trips by Destination/Trips to Asia-Pacific,66,108,2019-07-04
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,10,23,2019-07-04
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,20,32,2019-07-04
Travel/Vacation Packages,10,12,2019-07-04
Apparel & Accessories,13,19,2019-07-05
Autos & Vehicles/Motor Vehicles,19,24,2019-07-05
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,17,24,2019-07-05
Beauty Products & Services/Makeup & Cosmetics,10,11,2019-07-05
Business Services,15,19,2019-07-05
Business Services/Advertising & Marketing Services,77,119,2019-07-05
Business Services/Business Financial Services,15,23,2019-07-05
Business Services/Business Technology,16,23,2019-07-05
Business Services/Business Technology/Enterprise Software,56,100,2019-07-05
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,17,33,2019-07-05
Business Services/Business Technology/Network Systems & Services,16,27,2019-07-05
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,11,17,2019-07-05
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,19,32,2019-07-05
Business Services/Business Technology/Web Services/Web Design & Development,33,51,2019-07-05
Business Services/Business Technology/Web Services/Web Hosting,10,15,2019-07-05
Business Services/Office Supplies,11,20,2019-07-05
Business Services/Payment Processing & Merchant Services,17,31,2019-07-05
Computers & Peripherals/Computer Accessories & Components,37,56,2019-07-05
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,12,18,2019-07-05
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,16,28,2019-07-05
Computers & Peripherals/Computers,11,18,2019-07-05
Computers & Peripherals/Computers/Laptops & Notebooks,19,25,2019-07-05
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,16,20,2019-07-05
Consumer Electronics/Mobile Phones,63,101,2019-07-05
Dating Services,30,42,2019-07-05
Education/Foreign Language Study,30,42,2019-07-05
Education/Post-Secondary Education,39,66,2019-07-05
Education/Post-Secondary Education/Technology Education,38,67,2019-07-05
Education/Primary & Secondary Schools (K-12),29,53,2019-07-05
Education/Test Preparation & Tutoring,18,34,2019-07-05
Employment,43,72,2019-07-05
Employment/Career Consulting Services,21,37,2019-07-05
Employment/IT & Technical Jobs,32,61,2019-07-05
Financial Services/Banking Services,22,38,2019-07-05
Financial Services/Investment Services,65,103,2019-07-05
Financial Services/Tax Services,14,26,2019-07-05
Gifts & Occasions/Holiday & Seasonal Items,19,25,2019-07-05
Gifts & Occasions/Wedding Planning,12,15,2019-07-05
Real Estate/Residential Properties,25,48,2019-07-05
Software/Antivirus & Security Software,23,36,2019-07-05
Software/Audio & Music Software,12,15,2019-07-05
Software/Business & Productivity Software,75,129,2019-07-05
Software/Design Software/Drawing & Animation Software,26,42,2019-07-05
Software/Design Software/Photo Software,24,35,2019-07-05
Software/Video Software,10,14,2019-07-05
Travel/Air Travel,32,54,2019-07-05
Travel/Bus & Rail Travel,17,27,2019-07-05
Travel/Car Rental,14,25,2019-07-05
Travel/Hotels & Accommodations,25,33,2019-07-05
Travel/Trips by Destination/Trips to Asia-Pacific,58,95,2019-07-05
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,24,35,2019-07-05
Apparel & Accessories,16,31,2019-07-06
Apparel & Accessories/Women's Apparel,10,18,2019-07-06
Autos & Vehicles/Motor Vehicles,19,33,2019-07-06
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,11,20,2019-07-06
Beauty Products & Services/Makeup & Cosmetics,13,30,2019-07-06
Business Services,11,17,2019-07-06
Business Services/Advertising & Marketing Services,55,112,2019-07-06
Business Services/Business Financial Services,10,17,2019-07-06
Business Services/Business Technology,13,25,2019-07-06
Business Services/Business Technology/Enterprise Software,42,95,2019-07-06
Business Services/Business Technology/Network Systems & Services,11,21,2019-07-06
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,14,36,2019-07-06
Business Services/Business Technology/Web Services/Web Design & Development,17,44,2019-07-06
Computers & Peripherals/Computer Accessories & Components,31,67,2019-07-06
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,13,26,2019-07-06
Computers & Peripherals/Computers/Laptops & Notebooks,10,20,2019-07-06
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,11,17,2019-07-06
Consumer Electronics/Mobile Phones,52,108,2019-07-06
Dating Services,21,46,2019-07-06
Education/Foreign Language Study,23,39,2019-07-06
Education/Post-Secondary Education,29,56,2019-07-06
Education/Post-Secondary Education/Technology Education,23,51,2019-07-06
Education/Primary & Secondary Schools (K-12),25,55,2019-07-06
Education/Test Preparation & Tutoring,16,21,2019-07-06
Employment,40,81,2019-07-06
Employment/Career Consulting Services,16,26,2019-07-06
Employment/IT & Technical Jobs,26,55,2019-07-06
Financial Services/Banking Services,16,39,2019-07-06
Financial Services/Investment Services,48,96,2019-07-06
Gifts & Occasions/Holiday & Seasonal Items,12,24,2019-07-06
Real Estate/Residential Properties,18,38,2019-07-06
Software/Antivirus & Security Software,18,42,2019-07-06
Software/Business & Productivity Software,54,113,2019-07-06
Software/Design Software/Drawing & Animation Software,15,28,2019-07-06
Software/Design Software/Photo Software,11,20,2019-07-06
Telecom/Internet Service Providers,11,29,2019-07-06
Travel/Air Travel,36,72,2019-07-06
Travel/Bus & Rail Travel,15,31,2019-07-06
Travel/Car Rental,11,13,2019-07-06
Travel/Hotels & Accommodations,28,54,2019-07-06
Travel/Trips by Destination/Trips to Asia-Pacific,44,90,2019-07-06
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,19,39,2019-07-06
